RegionID,SizeRank,City,RegionType,State,Metro,CountyName,Mean (2010),Mean (2020),Mean (2021(Q1)),Code,Originating Domestic Passengers 10%,Originating Domestic Passengers,AIRPORT,LATITUDE,LONGITUDE
39253,3270,Kings Park,City,NY,New York-Newark-Jersey City,Suffolk County,452278.62,515787.92,557437.0,,,,,,
5437,2418,Kingston,City,NY,Kingston,Ulster County,133710.68,175446.5,190922.0,,,,,,
52819,29449,La Fargeville,City,NY,Watertown-Fort Drum,Jefferson County,116155.02,124367.33,133387.33,,,,,,
395505,3318,La Grange,City,NY,New York-Newark-Jersey City,Dutchess County,276926.2,314136.83,347573.0,,,,,,
5472,3251,Lackawanna,City,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,87094.88,125561.42,140287.0,,,,,,
195828,10148,Lake Erie Beach,City,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,98454.99,119107.75,131817.67,,,,,,
5493,4485,Lake Grove,City,NY,New York-Newark-Jersey City,Suffolk County,401187.75,477290.33,521344.33,,,,,,
5500,13075,Lake Katrine,City,NY,Kingston,Ulster County,185896.0,219340.17,254486.33,,,,,,
32410,15933,Lakewood,City,NY,Jamestown-Dunkirk-Fredonia,Chautauqua County,111752.39,135309.08,146725.67,,,,,,
18955,3833,Larchmont,City,NY,New York-Newark-Jersey City,Westchester County,1120834.52,1194561.33,1251322.0,,,,,,
39376,24820,Laurel,City,NY,New York-Newark-Jersey City,Suffolk County,517143.66,637768.25,707253.33,,,,,,
22015,16821,Laurel Hollow,City,NY,New York-Newark-Jersey City,Nassau County,1517812.02,1603538.17,1676650.0,,,,,,
52907,5967,Lawrence,City,NY,New York-Newark-Jersey City,Nassau County,1111580.62,1426351.92,1484430.33,,,,,,
